event_id,event_date,event_name,event_type,mood_tag,major_target,building,latitude,longitude,student_id,attended,repeat_flag
1184,2025-06-11,Career Workshop,Career,Positive,Biology,Cone Center,35.3078,-80.7364,1,1,False
1307,2025-09-21,Academic Study Hall,Academic,Positive,Art,EPIC,35.3097,-80.7417,1,1,False
1121,2025-04-16,Mindfulness Talk,Mindfulness,Positive,CS,Atkins Library,35.3077,-80.7323,2,1,False
1138,2025-04-27,Academic Workshop,Academic,Neutral,CS,Student Union,35.3059,-80.7327,2,1,True
1241,2025-08-03,Academic Study Hall,Academic,Positive,Biology,CHHS,35.3072,-80.7338,2,1,False
1233,2025-07-29,Mindfulness Workshop,Mindfulness,Neutral,Psychology,Cone Center,35.3078,-80.7364,3,1,False
1075,2025-03-10,Mindfulness Workshop,Mindfulness,Neutral,Art,Cone Center,35.3078,-80.7364,4,1,False
1124,2025-04-18,Mindfulness Talk,Mindfulness,Stressed,CS,CHHS,35.3072,-80.7338,4,1,True
1050,2025-02-18,Career Study Hall,Career,Neutral,Psychology,Cone Center,35.3078,-80.7364,5,1,False
1204,2025-07-03,Mindfulness Mixer,Mindfulness,Stressed,CS,CHHS,35.3072,-80.7338,5,1,False
1286,2025-09-08,Mindfulness Workshop,Mindfulness,Neutral,Biology,Student Union,35.3059,-80.7327,5,1,False
1128,2025-04-20,Academic Study Hall,Academic,Stressed,Biology,EPIC,35.3097,-80.7417,6,1,False
1132,2025-04-23,Mindfulness Mixer,Mindfulness,Neutral,Psychology,Cone Center,35.3078,-80.7364,6,1,True
1285,2025-09-07,Career Workshop,Career,Neutral,Psychology,Atkins Library,35.3077,-80.7323,6,1,False
1049,2025-02-18,Academic Talk,Academic,Neutral,CS,Atkins Library,35.3077,-80.7323,7,1,False
1069,2025-03-07,Academic Workshop,Academic,Neutral,Biology,Student Union,35.3059,-80.7327,7,1,True
1094,2025-03-30,Academic Workshop,Academic,Neutral,Psychology,EPIC,35.3097,-80.7417,7,1,True
1103,2025-04-05,Career Mixer,Career,Neutral,CS,EPIC,35.3097,-80.7417,7,1,True
1219,2025-07-19,Academic Mixer,Academic,Stressed,CS,CHHS,35.3072,-80.7338,8,1,False
1033,2025-02-03,Academic Talk,Academic,Positive,Business,Cone Center,35.3078,-80.7364,9,1,False
1057,2025-02-23,Academic Study Hall,Academic,Neutral,Psychology,Atkins Library,35.3077,-80.7323,9,1,True
1258,2025-08-18,Mindfulness Mixer,Mindfulness,Neutral,CS,Atkins Library,35.3077,-80.7323,9,1,False
1301,2025-09-17,Academic Talk,Academic,Neutral,Business,Student Union,35.3059,-80.7327,9,1,True
1303,2025-09-18,Career Workshop,Career,Neutral,CS,Atkins Library,35.3077,-80.7323,9,1,True
1305,2025-09-20,Academic Mixer,Academic,Stressed,CS,Cone Center,35.3078,-80.7364,9,1,True
1085,2025-03-21,Academic Talk,Academic,Positive,Business,EPIC,35.3097,-80.7417,10,1,False
1096,2025-03-31,Academic Talk,Academic,Positive,CS,EPIC,35.3097,-80.7417,10,1,True
1199,2025-06-29,Career Mixer,Career,Neutral,Business,Cone Center,35.3078,-80.7364,11,1,False
1276,2025-08-31,Academic Mixer,Academic,Stressed,Psychology,EPIC,35.3097,-80.7417,11,1,False
1001,2025-01-01,Mindfulness Mixer,Mindfulness,Positive,CS,Cone Center,35.3078,-80.7364,12,1,False
1036,2025-02-07,Mindfulness Workshop,Mindfulness,Stressed,Business,EPIC,35.3097,-80.7417,12,1,True
1053,2025-02-21,Academic Mixer,Academic,Stressed,CS,EPIC,35.3097,-80.7417,12,1,True
1271,2025-08-26,Mindfulness Workshop,Mindfulness,Neutral,Biology,EPIC,35.3097,-80.7417,13,1,False
1115,2025-04-13,Career Talk,Career,Stressed,Psychology,Atkins Library,35.3077,-80.7323,14,1,False
1019,2025-01-21,Academic Workshop,Academic,Neutral,Art,EPIC,35.3097,-80.7417,15,1,False
